time,Hongkong,Macao,Taiwan,China,South Korea,Japan,Singapore,Australia,Malaysia,Vietnam,Philippines,New Zealand,Cambodia,Thailand,India,Indonesia, Nepal,Sri Lanka,Diamond Princess,Italy,Germany,France,Spain,UK,Switzerland,Norway,Sweden,Netherlands,Austria,Israel,Croatia,Greece,Finland,Denmark,Czechia,Azerbaijan,Georgia,Romania,Russia,Iceland,North Macedonia,Ireland,Estonia,Lithuania,Latvia,Portugal,Andorra,Luxembourg,Belarus,San Marino,Armenia,Belgium,Monaco,Iran,Kuwait,Bahrain,UAE,Iraq,Lebanon,Oman,Pakistan,Qatar,Egypt,Afghanistan,Jordan,Morocco,Saudi Arabia,Tunisia,US,Canada,Mexico,Brazil,Ecuador,Algeria,Nigeria,Senegal
2020/1/20,,,,198,1,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/1/21,,,,291,1,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
2020/1/22,1,1,1,443,1,1,0,,,0,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2020/1/23,2,2,1,576,2,1,1,0,,2,,,,4,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2020/1/24,5,2,3,840,2,3,3,3,0,2,,,,4,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
2020/1/25,5,2,3,1297,2,3,4,4,3,2,,,,5,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,
2020/1/26,8,5,4,1992,4,4,4,4,4,2,,,,5,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,
2020/1/27,8,7,5,2764,4,4,4,4,4,2,,,0,5,,,1,0,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,
2020/1/28,8,7,8,4538,4,6,7,5,4,2,,,1,14,,,1,1,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,5,2,,,,,,
2020/1/29,8,7,8,5997,4,7,7,7,4,2,0,,1,14,0,,1,1,,,4,4,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,5,3,,,,,,
2020/1/30,12,7,9,7739,4,11,10,7,7,2,1,,1,14,1,,1,1,,0,4,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,5,3,,,,,,
2020/1/31,13,7,10,9722,11,14,13,9,8,5,1,,1,14,1,,1,1,,2,5,6,0,0,,,0,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,6,3,,,,,,
2020/2/1,14,7,10,11822,12,17,16,12,8,6,1,,1,19,1,,1,1,,2,7,6,1,2,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,7,4,,,,,,
2020/2/2,15,8,10,14413,15,20,18,12,8,7,2,,1,19,2,,1,1,,2,8,6,1,2,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,8,4,,,,,,
2020/2/3,15,8,10,17238,15,20,18,12,8,8,2,,1,19,3,,1,1,,2,10,6,1,2,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,11,4,,,,,,
2020/2/4,18,10,11,20477,16,20,18,12,10,9,2,,1,19,3,,1,1,0,2,12,6,1,2,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,0,,,,,5,,,,,,,,,,,,11,4,,,,,,
2020/2/5,21,10,11,24366,18,23,24,13,10,10,3,,1,25,3,,1,1,10,2,12,6,1,2,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,1,,,,,5,,,,,,,,,,,,11,5,,,,,,
2020/2/6,25,10,16,28069,23,25,28,14,12,10,3,,1,25,3,,1,1,20,2,12,6,1,2,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,1,,,,,5,,,,,,,,,,,,12,5,,,,,,
2020/2/7,26,10,16,31213,24,25,30,15,14,12,3,,1,25,3,,1,1,61,3,13,6,1,3,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,1,,,,,5,,,,,,,,,,,,12,7,,,,,,
2020/2/8,26,10,17,34599,24,25,33,15,15,13,3,,1,32,3,,1,1,64,3,14,6,1,3,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,1,,,,,7,,,,,,,,,,,,12,7,,,,,,
2020/2/9,36,10,18,37262,27,26,40,15,17,14,3,,1,32,3,,1,1,64,3,14,11,1,3,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,1,,,,,7,,,,,,,,,,,,12,7,,,,,,
2020/2/10,42,10,18,40241,27,26,43,15,18,14,3,,1,32,3,,1,1,70,3,14,11,2,4,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,1,,,,,7,,,,,,,,,,,,12,7,,,,,,
2020/2/11,49,10,18,42715,28,26,45,15,18,15,3,,1,33,3,,1,1,135,3,14,11,2,8,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,1,,,,,8,,,,,,,,,,,,13,7,,,,,,
2020/2/12,50,10,18,44731,28,28,47,15,18,15,3,,1,33,3,,1,1,175,3,16,11,2,8,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,1,,,,,8,,,,,,,,,,,,13,7,,,,,,
2020/2/13,53,10,18,59885,28,29,50,15,18,16,3,,1,33,3,,1,1,174,3,16,11,2,9,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,1,,,,,8,,,,,,,,,,,,14,7,,,,,,
2020/2/14,56,10,18,63935,28,33,58,15,19,16,3,,1,33,3,,1,1,218,3,16,11,2,9,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,1,,,,,8,,,,,,0,,,,,,15,7,,,,,,
2020/2/15,56,10,18,66576,28,41,67,15,21,16,3,,1,34,3,,1,1,285,3,16,11,2,9,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,1,,,,,8,,,,,,1,,,,,,15,7,,,,,,
2020/2/16,57,10,20,68587,29,53,72,15,22,16,3,,1,34,3,,1,1,355,3,16,12,2,9,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,1,,,,,8,,,,,,1,,,,,,15,7,,,,,,
2020/2/17,60,10,22,70640,30,59,75,15,22,16,3,,1,35,3,,1,1,454,3,16,12,2,9,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,1,,,,,9,,,,,,1,,,,,,15,7,,,,,,
2020/2/18,62,10,22,72530,31,65,77,15,22,16,3,,1,35,3,,1,1,454,3,16,12,2,9,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,1,,,,,9,,,,,,1,,,,,,15,8,,,,,,
2020/2/19,65,10,24,74284,51,73,81,15,22,16,3,,1,35,3,,1,1,542,3,16,12,2,9,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,1,,0,,,9,,,,,,1,,,,,,15,8,,,,,,
2020/2/20,65,10,24,75101,104,85,84,15,22,16,3,,1,35,3,,1,1,621,3,16,12,2,9,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,1,,2,,,9,,,,,,1,,,,,,15,8,,,,,,
2020/2/21,68,10,26,75995,204,93,85,17,22,16,3,,1,35,3,,1,1,634,3,16,12,2,9,,,1,,,0,,,1,,,,,,2,,,,,,,,,,,,,1,,5,,,9,,0,,,,1,,,,,,15,8,,,,,,
2020/2/22,68,10,26,76392,346,105,86,21,22,16,3,,1,35,3,,1,1,634,9,16,12,2,9,,,1,,,1,,,1,,,,,,2,,,,,,,,,,,,,1,,18,,,11,,1,,,,1,,,,,,35,8,,,,,,
2020/2/23,70,10,26,77042,602,132,89,22,22,16,3,,1,35,3,,1,1,634,76,16,12,2,9,,,1,,,1,,,1,,,,,,2,,,,,,,,,,,,,1,,28,0,,13,,1,,,,1,,,,,,35,9,,,,,,
2020/2/24,74,10,28,77262,763,144,89,22,22,16,3,,1,35,3,,1,1,695,124,16,12,2,9,,,1,,,1,,,1,,,,,,2,,,,,,,,,,,,,1,,43,3,0,13,0,1,0,,,1,0,,,,,35,9,,,,,,
2020/2/25,81,10,30,77779,977,157,90,22,22,16,3,,1,37,3,,1,1,691,229,16,12,2,13,0,,1,,0,2,0,,1,,,,,,2,,,,,,,,,,,,,1,,61,8,8,13,1,1,2,,,1,1,,,,,53,10,,,,0,,
2020/2/26,85,10,32,78191,1261,164,91,22,22,16,3,,1,40,3,,1,1,691,322,18,12,2,13,1,0,1,,2,2,2,0,1,0,,,0,0,2,,0,,0,,,,,,,,,1,,95,12,26,13,5,1,4,0,,1,1,,,,,53,10,,0,,1,,
2020/2/27,91,10,32,78630,1766,186,93,23,22,16,3,0,1,40,3,,1,1,705,400,21,18,12,13,1,1,2,0,2,2,3,1,2,1,,,1,1,2,,1,,1,0,,,,,0,0,,1,,141,43,33,13,6,2,4,2,,1,1,,,,,59,11,,1,,1,0,
2020/2/28,93,10,32,78959,2337,210,96,23,24,16,3,1,1,41,3,,1,1,705,650,46,38,32,19,6,4,7,2,5,5,5,3,2,1,,,2,1,2,,1,,1,1,,,,,1,1,,1,,245,43,36,19,7,2,6,2,,1,1,,,,,59,11,0,1,,1,1,
2020/2/29,94,10,34,79389,3150,230,98,24,24,16,3,1,1,42,3,,1,1,705,888,57,57,32,20,10,6,12,2,5,5,5,3,2,2,,0,2,3,2,,1,0,1,1,,,,,1,1,,1,0,388,45,38,19,8,2,6,2,0,1,1,,,,,62,14,2,1,0,1,1,
2020/3/1,95,10,39,79968,3736,239,102,25,24,16,3,1,1,42,3,0,1,1,705,1128,57,100,45,23,18,15,13,7,10,7,7,3,2,3,0,3,3,3,2,0,1,1,1,1,,,,0,1,1,0,1,1,593,45,40,19,13,2,6,4,1,1,1,,,,,62,19,2,2,1,1,1,
2020/3/2,98,10,40,80174,4212,254,106,27,24,16,3,1,1,42,3,2,1,1,706,1689,129,100,45,36,24,19,14,13,10,7,7,7,6,4,3,3,3,3,2,2,1,1,1,1,0,0,0,1,1,1,1,1,1,978,56,47,21,19,10,6,4,3,2,1,0,0,0,0,62,19,5,2,1,1,1,0
2020/3/3,100,10,41,80304,4812,268,108,33,29,16,3,2,1,43,5,2,1,1,706,2036,157,191,114,39,30,25,15,18,18,10,9,7,7,5,3,3,3,3,3,9,1,1,1,1,1,1,1,1,1,8,1,8,1,1502,56,49,21,26,13,6,5,7,2,1,1,1,1,1,64,27,5,2,6,5,1,1
2020/3/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,