,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju,Sum,New,Total death,Total recovery
current level,2,2,4,2,2,2,2,1,3,2,2,3,2,2,4,2,1,,,,
2-17,,,,,,,,,,,,,,,,,,30,,,
2-18,,,,,,,,,,,,,,,,,,31,1,,
2-19,,,,,,,,,,,,,,,,,,46,15,,
2-20,,,,,,,,,,,,,,,,,,82,36,,
2-21,,,,,,,,,,,,,,,,,,156,74,,
2-22,,,,,,,,,,,,,,,,,,346,190,,
2-23,,,,,,,,,,,,,,,,,,556,210,5,
2-24,30,17,443,2,9,3,1,1,35,6,3,1,3,1,186,20,2,763,207,7,
2-25,36,38,499,2,9,3,2,1,40,6,3,1,3,2,225,21,2,893,130,10,
2-26,45,50,677,3,9,3,3,1,43,6,5,2,3,1,268,25,2,1146,253,12,
2-27,55,58,1017,3,9,8,6,1,55,6,7,7,3,1,321,36,2,1595,449,13,
2-28,62,63,1314,4,9,13,11,1,66,6,9,16,5,1,394,46,2,2022,427,13,
2-29,74,77,2055,6,9,14,17,1,76,7,10,48,5,2,469,59,2,2931,909,17,
3-1,82,81,2569,6,9,13,17,1,84,7,11,60,5,3,514,62,2,3526,595,18,
3-2,91,88,3081,7,9,14,20,1,92,19,11,78,6,5,624,64,2,4212,686,22,
3-3,98,90,3601,7,11,14,20,1,94,20,11,81,7,5,685,64,2,4811,599,28,
3-4,99,92,4006,9,13,15,23,1,101,21,11,82,7,5,774,65,3,5327,516,32,
3-5,103,92,4327,9,14,16,23,1,110,23,12,86,7,4,861,74,4,5766,439,35,
3-6,105,95,4694,9,13,18,23,1,120,25,15,90,7,4,984,77,4,6284,518,42,
3-7,108,96,5084,9,13,18,23,2,130,26,20,92,7,4,1049,82,4,6767,483,44,
3-8,120,96,5381,9,13,18,24,3,141,27,24,98,7,4,1081,83,4,7133,366,50,
3-9,130,96,5571,9,15,19,24,6,152,28,25,102,7,4,1107,83,4,7382,249,51,