,Hubei,Guangdong,Henan,Zhejiang,Hunan,Anhui,Jiangxi,Jiangsu,Chongqing,Shandong,Sichuan,Heilongjiang,Beijing,Shanghai,Hebei,Fujian,Guangxi,Shaanxi,Yunnan,Hainan,Guizhou,Shanxi,Tianjin,Liaoning,Gansu,Jilin,Xinjiang,Inner Mongolia,Ningxia,Qinghai,Xizang,Sum,Sum except Hubei,,,Hubei,Guangdong,Henan,Zhejiang,Hunan,Anhui,Jiangxi,Jiangsu,Chongqing,Shandong,Sichuan,Heilongjiang,Beijing,Shanghai,Hebei,Fujian,Guangxi,Shaanxi,Yunnan,Hainan,Guizhou,Shanxi,Tianjin,Liaoning,Gansu,Jilin,Xinjiang,Inner Mongolia,Ningxia,Qinghai,Xizang,Sum,Sum withoutHubei
Jan-20,270,14,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,21,,Jan-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-21,375,26,1,5,1,0,2,0,5,1,2,0,10,9,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,440,65,,Jan-21,105,12,1,5,1,0,2,0,5,1,2,0,5,7,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,149,44
Jan-22,444,32,5,10,9,9,3,1,9,5,5,0,14,16,1,1,5,0,1,4,1,1,4,2,0,0,0,0,1,0,0,583,139,,Jan-22,69,6,4,5,8,9,1,1,4,4,3,0,4,7,1,1,5,0,0,4,1,1,2,2,0,0,0,0,1,0,0,143,74
Jan-23,549,53,9,27,24,15,7,9,27,6,8,4,26,20,2,3,13,3,2,8,3,1,5,4,2,1,2,1,2,0,0,836,287,,Jan-23,105,21,4,17,15,6,4,8,18,1,3,4,12,4,1,2,8,3,1,4,2,0,1,2,2,1,2,1,1,0,0,253,148
Jan-24,729,78,32,62,43,39,18,18,58,18,13,9,36,33,8,9,23,5,5,11,4,6,8,12,4,4,3,2,3,1,0,1294,565,,Jan-24,180,25,23,35,19,24,11,9,31,12,5,5,10,13,6,6,10,2,3,3,1,5,3,8,2,3,1,1,1,1,0,458,278
Jan-25,1052,98,83,104,69,60,36,31,75,39,44,15,51,40,13,18,33,15,11,20,5,9,10,17,7,4,4,7,4,1,0,1975,923,,Jan-25,323,20,51,42,26,21,18,13,17,21,31,6,15,7,5,9,10,10,6,9,1,3,2,5,3,0,1,5,1,0,0,681,358
Jan-26,1423,146,128,128,100,70,48,47,110,46,69,21,72,53,18,35,46,22,19,27,7,13,14,22,14,6,5,11,7,4,0,2731,1308,,Jan-26,371,48,45,24,31,10,12,16,35,7,25,6,21,13,5,17,13,7,8,7,2,4,4,5,7,2,1,4,3,3,0,756,385
Jan-27,2714,188,168,173,143,106,72,70,132,87,90,30,91,66,33,56,51,35,26,38,9,20,23,27,19,8,10,13,11,6,0,4515,1801,,Jan-27,1291,42,40,45,43,36,24,23,22,41,21,9,19,13,15,21,5,13,7,11,2,7,9,5,5,2,5,2,4,2,0,1784,493
Jan-28,3554,241,206,296,221,152,109,99,147,121,108,37,102,80,48,82,58,46,51,43,9,27,24,36,24,9,13,16,12,6,0,5977,2423,,Jan-28,840,53,38,123,78,46,37,29,15,34,18,7,11,14,15,26,7,11,25,5,0,7,1,9,5,1,3,3,1,0,0,1462,622
Jan-29,4586,311,278,428,277,200,162,129,165,145,142,43,111,101,65,101,78,56,70,46,12,35,27,39,26,14,14,18,17,6,1,7703,3117,,Jan-29,1032,70,72,132,56,48,53,30,18,24,34,6,9,21,17,19,20,10,19,3,3,8,3,3,2,5,1,2,5,0,1,1726,694
Jan-30,5806,393,352,537,332,237,240,168,206,178,177,59,132,128,82,120,87,63,80,49,15,39,31,45,29,14,17,20,21,8,1,9666,3860,,Jan-30,1220,82,74,109,55,37,78,39,41,33,35,16,21,27,17,19,9,7,10,3,3,4,4,6,3,0,3,2,4,2,0,1963,743
Jan-31,7153,520,422,599,389,297,286,202,238,202,207,80,156,153,96,144,100,87,91,57,29,47,32,60,35,17,18,23,26,9,1,11776,4623,,Jan-31,1347,127,70,62,57,60,46,34,32,24,30,21,24,25,14,24,13,24,11,8,14,8,1,15,6,3,1,3,5,1,0,2110,763
Feb-1,9074,604,493,661,463,340,333,236,262,225,231,95,183,177,104,159,111,101,99,62,38,56,41,64,40,23,21,27,28,9,1,14361,5287,,Feb-1,1921,84,71,62,74,43,47,34,24,23,24,15,27,24,8,15,11,14,8,5,9,9,9,4,5,6,3,4,2,0,0,2585,664
Feb-2,11177,683,566,724,521,408,391,271,300,246,254,118,212,193,113,179,127,116,109,69,46,66,48,70,51,31,24,34,31,13,1,17192,6015,,Feb-2,2103,79,73,63,58,68,58,35,38,21,23,23,29,16,9,20,16,15,10,7,8,10,7,6,11,8,3,7,3,4,0,2831,728
Feb-3,13522,797,675,829,593,480,476,308,337,259,282,155,228,208,126,194,139,124,117,79,56,74,60,73,55,42,29,35,34,15,1,20402,6880,,Feb-3,2345,114,109,105,72,72,85,37,37,13,28,37,16,15,13,15,12,8,8,10,10,8,12,3,4,11,5,1,3,2,0,3210,865
Feb-4,16678,870,764,895,661,530,548,341,366,298,301,190,253,233,135,205,150,142,122,89,64,81,67,75,57,54,32,42,34,17,1,24295,7617,,Feb-4,3156,73,89,66,68,50,72,33,29,39,19,35,25,25,9,11,11,18,5,10,8,7,7,2,2,12,3,7,0,2,0,3893,737
Feb-5,19655,944,851,954,711,591,600,373,390,343,321,227,274,254,157,215,168,165,128,100,69,90,69,89,62,59,36,44,40,18,1,27998,8343,,Feb-5,2977,74,87,59,50,61,52,32,24,45,20,37,21,21,22,10,18,23,6,11,5,9,2,14,5,5,4,2,6,1,0,3703,726
Feb-6,22112,1018,914,1006,772,665,661,408,411,379,344,277,297,269,171,224,172,173,133,106,77,96,79,95,67,65,39,46,43,18,1,31138,9026,,Feb-6,2457,74,63,52,61,74,61,35,21,36,23,50,23,15,14,9,4,8,5,6,8,6,10,6,5,6,3,2,3,0,0,3140,683
Feb-7,24953,1075,981,1048,803,733,698,439,426,407,363,295,315,281,195,239,183,184,136,117,89,104,81,103,71,69,42,50,45,18,1,34544,9591,,Feb-7,2841,57,67,42,31,68,37,31,15,28,19,18,18,12,24,15,11,11,3,11,12,8,2,8,4,4,3,4,2,0,0,3406,565
Feb-8,27100,1120,1033,1075,839,779,740,468,446,435,386,307,326,292,206,250,195,195,138,129,96,115,88,105,79,78,45,52,45,18,1,37181,10081,,Feb-8,2147,45,52,27,36,46,42,29,20,28,23,12,11,11,11,11,12,11,2,12,7,11,7,2,8,9,3,2,0,0,0,2637,490
Feb-9,29631,1151,1073,1092,879,830,771,492,468,459,405,331,337,295,218,261,210,208,141,131,109,119,91,107,83,80,49,54,49,18,1,40143,10512,,Feb-9,2531,31,40,17,40,51,31,24,22,24,19,24,11,3,12,11,15,13,3,2,13,4,3,2,4,2,4,2,4,0,0,2962,431
Feb-10,31728,1177,1105,1117,912,860,804,515,473,486,417,360,342,302,239,267,215,219,149,142,118,122,95,111,86,81,55,58,53,18,1,42627,10899,,Feb-10,2097,26,32,25,33,30,33,23,5,27,12,29,5,7,21,6,5,11,8,11,9,3,4,4,3,1,6,4,4,0,0,2484,387
Feb-11,33366,1219,1135,1131,946,889,844,543,505,497,436,378,352,306,251,272,222,225,154,151,131,124,107,116,86,83,59,60,58,18,1,44665,11299,,Feb-11,1638,42,30,14,34,29,40,28,32,11,19,18,10,4,12,5,7,6,5,9,13,2,12,5,0,2,4,2,5,0,0,2038,400
Feb-12,48206,1241,1169,1145,968,910,872,570,518,506,451,395,366,313,265,279,222,229,155,157,135,126,113,116,87,83,63,61,64,18,1,59804,11598,,Feb-12,14840,22,34,14,22,21,28,27,13,9,15,17,14,7,14,7,0,4,1,6,4,2,6,0,1,0,4,1,6,0,0,15139,299
Feb-13,51986,1261,1184,1155,988,934,900,593,529,519,463,418,366,319,283,281,226,230,162,157,140,126,119,117,90,86,65,65,67,18,1,63848,11862,,Feb-13,3780,20,15,10,20,24,28,23,11,13,12,23,0,6,18,2,4,1,7,0,5,0,6,1,3,3,2,4,3,0,0,4044,264
Feb-14,54406,1294,1212,1162,1001,950,913,604,537,530,470,425,372,326,291,285,235,230,162,162,143,127,120,119,90,88,70,65,70,18,1,66478,12072,,Feb-14,2420,33,28,7,13,16,13,11,8,11,7,7,6,7,8,4,9,0,0,5,3,1,1,2,0,2,5,0,3,0,0,2630,210
Feb-15,56249,1316,1231,1167,1004,962,925,617,544,537,481,445,380,328,300,287,237,236,169,162,144,128,122,120,90,89,71,70,70,18,1,68500,12251,,Feb-15,1843,22,19,5,3,12,12,13,7,7,11,20,8,2,9,2,2,6,7,0,1,1,2,1,0,1,1,5,0,0,0,2022,179
Feb-16,58182,1322,1246,1171,1006,973,930,626,551,541,495,457,381,331,301,290,238,240,171,162,146,129,125,121,90,89,75,72,70,18,1,70550,12368,,Feb-16,1933,6,15,4,2,11,5,9,7,4,14,12,1,3,1,3,1,4,2,0,2,1,3,1,0,0,4,2,0,0,0,2050,117
Feb-17,59989,1328,1257,1172,1007,982,933,629,553,543,508,464,387,333,302,292,242,240,172,163,146,130,127,121,91,89,76,73,70,18,1,72438,12449,,Feb-17,1807,6,11,1,1,9,3,3,2,2,13,7,6,2,1,2,4,0,1,1,0,1,2,0,1,0,1,1,0,0,0,1888,81
Feb-18,61682,1331,1262,1173,1008,986,934,631,553,544,514,470,393,333,306,293,244,242,172,163,146,131,128,121,91,90,76,75,71,18,1,74182,12500,,Feb-18,1693,3,5,1,1,4,1,2,0,1,6,6,6,0,4,1,2,2,0,0,0,1,1,0,0,1,0,2,1,0,0,1744,51
Feb-19,62457,1332,1265,1175,1010,987,934,631,560,546,520,476,395,333,307,293,245,245,172,168,146,131,130,121,91,91,76,75,71,18,1,75002,12545,,Feb-19,775,1,3,2,2,1,0,0,7,2,6,6,2,0,1,0,1,3,0,5,0,0,2,0,0,1,0,0,0,0,0,820,45
Feb-20,63088,1333,1267,1203,1011,988,934,631,567,748,525,479,396,334,308,293,246,245,174,168,146,132,131,121,91,91,76,75,71,18,1,75891,12803,,Feb-20,631,1,2,28,1,1,0,0,7,202,5,3,1,1,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,889,258
Feb-21,63454,1339,1270,1205,1013,989,934,631,572,750,526,479,399,334,309,293,249,245,174,168,146,132,133,121,91,91,76,75,71,18,1,76288,12834,,Feb-21,366,6,3,2,2,1,0,0,5,2,1,0,3,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,397,31
Feb-22,64084,1342,1271,1205,1016,989,934,631,573,754,526,480,399,335,311,293,249,245,174,168,146,132,135,121,91,91,76,75,71,18,1,76936,12852,,Feb-22,630,3,1,0,3,0,0,0,1,4,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,648,18
Feb-23,64287,1345,1271,1205,1016,989,934,631,575,755,527,480,399,335,311,293,251,245,174,168,146,132,135,121,91,93,76,75,71,18,1,77150,12863,,Feb-23,203,3,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,214,11
Feb-24,64786,1347,1271,1205,1016,989,934,631,576,755,529,480,400,335,311,294,252,245,174,168,146,133,135,121,91,93,76,75,71,18,1,77658,12872,,Feb-24,499,2,0,0,0,0,0,0,1,0,2,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,508,9
Feb-25,65187,1347,1271,1205,1016,989,934,631,576,756,531,480,400,336,312,294,252,245,174,168,146,133,135,121,91,93,76,75,71,18,1,78064,12877,,Feb-25,401,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,5
Feb-26,65596,1347,1272,1205,1017,989,934,631,576,756,534,480,410,337,317,296,252,245,174,168,146,133,135,121,91,93,76,75,72,18,1,78497,12901,,Feb-26,409,0,1,0,1,0,0,0,0,0,3,0,10,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,433,24
Feb-27,65914,1348,1272,1205,1017,990,935,631,576,756,538,480,410,337,318,296,252,245,174,168,146,133,136,121,91,93,76,75,72,18,1,78824,12910,,Feb-27,318,1,0,0,0,1,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,327,9
Feb-28,66337,1349,1272,1205,1018,990,935,631,576,756,538,480,411,337,318,296,252,245,174,168,146,133,136,121,91,93,76,75,73,18,1,79251,12914,,Feb-28,423,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,427,4
Feb-29,66907,1349,1272,1205,1018,990,935,631,576,756,538,480,413,337,318,296,252,245,174,168,146,133,136,122,91,93,76,75,73,18,1,79824,12917,,Feb-29,570,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,573,3
Mar-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mar-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mar-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mar-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mar-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mar-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mar-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mar-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mar-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mar-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mar-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mar-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mar-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,