Municipality,GGD-region?,Count,Reference date,Fetch date
Aalsmeer,358,3,14:00 15.3,15.3.2020
Albrandswaard,613,1,14:00 15.3,15.3.2020
Alkmaar,361,1,14:00 15.3,15.3.2020
Almelo,141,1,14:00 15.3,15.3.2020
Almere,34,2,14:00 15.3,15.3.2020
Alphen aan den Rijn,484,6,14:00 15.3,15.3.2020
Alphen-Chaam,1723,1,14:00 15.3,15.3.2020
Altena,1959,10,14:00 15.3,15.3.2020
Amersfoort,307,10,14:00 15.3,15.3.2020
Amstelveen,362,3,14:00 15.3,15.3.2020
Amsterdam,363,31,14:00 15.3,15.3.2020
Apeldoorn,200,3,14:00 15.3,15.3.2020
Arnhem,202,7,14:00 15.3,15.3.2020
Asten,743,1,14:00 15.3,15.3.2020
Barendrecht,489,3,14:00 15.3,15.3.2020
Barneveld,203,2,14:00 15.3,15.3.2020
Beek,888,3,14:00 15.3,15.3.2020
Beekdaelen,1954,12,14:00 15.3,15.3.2020
Berg en Dal,1945,6,14:00 15.3,15.3.2020
Bergeijk,1724,1,14:00 15.3,15.3.2020
Bergen (NH.),373,1,14:00 15.3,15.3.2020
Bergen op Zoom,748,4,14:00 15.3,15.3.2020
Bernheze,1721,16,14:00 15.3,15.3.2020
Best,753,3,14:00 15.3,15.3.2020
Beuningen,209,4,14:00 15.3,15.3.2020
Beverwijk,375,5,14:00 15.3,15.3.2020
Bladel,1728,1,14:00 15.3,15.3.2020
Blaricum,376,1,14:00 15.3,15.3.2020
Bloemendaal,377,1,14:00 15.3,15.3.2020
Bodegraven-Reeuwijk,1901,1,14:00 15.3,15.3.2020
Boekel,755,12,14:00 15.3,15.3.2020
Borne,147,3,14:00 15.3,15.3.2020
Borsele,654,1,14:00 15.3,15.3.2020
Boxmeer,756,1,14:00 15.3,15.3.2020
Boxtel,757,2,14:00 15.3,15.3.2020
Breda,758,71,14:00 15.3,15.3.2020
Bronckhorst,1876,2,14:00 15.3,15.3.2020
Buren,214,2,14:00 15.3,15.3.2020
Castricum,383,5,14:00 15.3,15.3.2020
Coevorden,109,11,14:00 15.3,15.3.2020
Cranendonck,1706,2,14:00 15.3,15.3.2020
Cuijk,1684,2,14:00 15.3,15.3.2020
Culemborg,216,2,14:00 15.3,15.3.2020
Dalfsen,148,1,14:00 15.3,15.3.2020
De Bilt,310,12,14:00 15.3,15.3.2020
De Fryske Marren,1940,3,14:00 15.3,15.3.2020
De Wolden,1690,1,14:00 15.3,15.3.2020
Delft,503,2,14:00 15.3,15.3.2020
Den Helder,400,1,14:00 15.3,15.3.2020
Deurne,762,4,14:00 15.3,15.3.2020
Deventer,150,1,14:00 15.3,15.3.2020
Diemen,384,2,14:00 15.3,15.3.2020
Dinkelland,1774,4,14:00 15.3,15.3.2020
Doesburg,221,1,14:00 15.3,15.3.2020
Dongen,766,5,14:00 15.3,15.3.2020
Dordrecht,505,1,14:00 15.3,15.3.2020
Drimmelen,1719,5,14:00 15.3,15.3.2020
Dronten,303,6,14:00 15.3,15.3.2020
Druten,225,5,14:00 15.3,15.3.2020
Duiven,226,1,14:00 15.3,15.3.2020
Ede,228,1,14:00 15.3,15.3.2020
Eersel,770,2,14:00 15.3,15.3.2020
Eijsden-Margraten,1903,3,14:00 15.3,15.3.2020
Eindhoven,772,21,14:00 15.3,15.3.2020
Elburg,230,1,14:00 15.3,15.3.2020
Emmen,114,1,14:00 15.3,15.3.2020
Enschede,153,3,14:00 15.3,15.3.2020
Ermelo,233,7,14:00 15.3,15.3.2020
Etten-Leur,777,8,14:00 15.3,15.3.2020
Geertruidenberg,779,1,14:00 15.3,15.3.2020
Geldrop-Mierlo,1771,2,14:00 15.3,15.3.2020
Gemert-Bakel,1652,16,14:00 15.3,15.3.2020
Gennep,907,1,14:00 15.3,15.3.2020
Gilze en Rijen,784,1,14:00 15.3,15.3.2020
Goeree-Overflakkee,1924,2,14:00 15.3,15.3.2020
Goes,664,2,14:00 15.3,15.3.2020
Goirle,785,6,14:00 15.3,15.3.2020
Gooise Meren,1942,4,14:00 15.3,15.3.2020
Gouda,513,3,14:00 15.3,15.3.2020
Groningen,14,6,14:00 15.3,15.3.2020
Gulpen-Wittem,1729,1,14:00 15.3,15.3.2020
Haaksbergen,158,1,14:00 15.3,15.3.2020
Haaren,788,7,14:00 15.3,15.3.2020
Haarlem,392,4,14:00 15.3,15.3.2020
Haarlemmermeer,394,1,14:00 15.3,15.3.2020
Harderwijk,243,2,14:00 15.3,15.3.2020
Hardinxveld-Giessendam,523,5,14:00 15.3,15.3.2020
Heemskerk,396,1,14:00 15.3,15.3.2020
Heemstede,397,2,14:00 15.3,15.3.2020
Heerhugowaard,398,1,14:00 15.3,15.3.2020
Heerlen,917,5,14:00 15.3,15.3.2020
Heeze-Leende,1658,1,14:00 15.3,15.3.2020
Heiloo,399,2,14:00 15.3,15.3.2020
Hellendoorn,163,2,14:00 15.3,15.3.2020
Hellevoetsluis,530,1,14:00 15.3,15.3.2020
Helmond,794,17,14:00 15.3,15.3.2020
Heumen,252,2,14:00 15.3,15.3.2020
Heusden,797,4,14:00 15.3,15.3.2020
Hilvarenbeek,798,5,14:00 15.3,15.3.2020
Hoeksche Waard,1963,2,14:00 15.3,15.3.2020
Hof van Twente,1735,1,14:00 15.3,15.3.2020
Hoogeveen,118,2,14:00 15.3,15.3.2020
Horst aan de Maas,1507,3,14:00 15.3,15.3.2020
Houten,321,13,14:00 15.3,15.3.2020
Huizen,406,1,14:00 15.3,15.3.2020
IJsselstein,353,2,14:00 15.3,15.3.2020
Katwijk,537,1,14:00 15.3,15.3.2020
Kerkrade,928,2,14:00 15.3,15.3.2020
Koggenland,1598,1,14:00 15.3,15.3.2020
Krimpen aan den IJssel,542,1,14:00 15.3,15.3.2020
Krimpenerwaard,1931,4,14:00 15.3,15.3.2020
Laarbeek,1659,1,14:00 15.3,15.3.2020
Landerd,1685,5,14:00 15.3,15.3.2020
Landgraaf,882,4,14:00 15.3,15.3.2020
Landsmeer,415,3,14:00 15.3,15.3.2020
Langedijk,416,4,14:00 15.3,15.3.2020
Lansingerland,1621,5,14:00 15.3,15.3.2020
Leeuwarden,80,1,14:00 15.3,15.3.2020
Leiden,546,4,14:00 15.3,15.3.2020
Leidschendam-Voorburg,1916,3,14:00 15.3,15.3.2020
Lelystad,995,7,14:00 15.3,15.3.2020
Leudal,1640,6,14:00 15.3,15.3.2020
Lingewaard,1705,3,14:00 15.3,15.3.2020
Loon op Zand,809,7,14:00 15.3,15.3.2020
Maasgouw,1641,2,14:00 15.3,15.3.2020
Maassluis,556,1,14:00 15.3,15.3.2020
Maastricht,935,21,14:00 15.3,15.3.2020
Meierijstad,1948,34,14:00 15.3,15.3.2020
Midden-Groningen,1952,1,14:00 15.3,15.3.2020
Mill en Sint Hubert,815,1,14:00 15.3,15.3.2020
Moerdijk,1709,1,14:00 15.3,15.3.2020
Molenlanden,1978,1,14:00 15.3,15.3.2020
Neder-Betuwe,1740,4,14:00 15.3,15.3.2020
Nederweert,946,3,14:00 15.3,15.3.2020
Nieuwegein,356,1,14:00 15.3,15.3.2020
Nieuwkoop,569,1,14:00 15.3,15.3.2020
Nijmegen,268,12,14:00 15.3,15.3.2020
Nissewaard,1930,1,14:00 15.3,15.3.2020
Noordoostpolder,171,2,14:00 15.3,15.3.2020
Noordwijk,575,2,14:00 15.3,15.3.2020
"Nuenen, Gerwen en Nederwetten",820,1,14:00 15.3,15.3.2020
Nunspeet,302,1,14:00 15.3,15.3.2020
Oegstgeest,579,4,14:00 15.3,15.3.2020
Oisterwijk,824,6,14:00 15.3,15.3.2020
Oldebroek,269,1,14:00 15.3,15.3.2020
Oldenzaal,173,1,14:00 15.3,15.3.2020
Ommen,175,1,14:00 15.3,15.3.2020
Oosterhout,826,5,14:00 15.3,15.3.2020
Opsterland,86,2,14:00 15.3,15.3.2020
Oss,828,5,14:00 15.3,15.3.2020
Oudewater,589,1,14:00 15.3,15.3.2020
Overbetuwe,1734,6,14:00 15.3,15.3.2020
Peel en Maas,1894,14,14:00 15.3,15.3.2020
Pekela,765,1,14:00 15.3,15.3.2020
Pijnacker-Nootdorp,1926,7,14:00 15.3,15.3.2020
Purmerend,439,2,14:00 15.3,15.3.2020
Raalte,177,1,14:00 15.3,15.3.2020
Reimerswaal,703,1,14:00 15.3,15.3.2020
Renkum,274,8,14:00 15.3,15.3.2020
Rheden,275,1,14:00 15.3,15.3.2020
Ridderkerk,597,1,14:00 15.3,15.3.2020
Roermond,957,2,14:00 15.3,15.3.2020
Roosendaal,1674,5,14:00 15.3,15.3.2020
Rotterdam,599,25,14:00 15.3,15.3.2020
Rozendaal,277,1,14:00 15.3,15.3.2020
Rucphen,840,1,14:00 15.3,15.3.2020
Schagen,441,4,14:00 15.3,15.3.2020
Schiedam,606,1,14:00 15.3,15.3.2020
Schouwen-Duiveland,1676,2,14:00 15.3,15.3.2020
's-Gravenhage,518,10,14:00 15.3,15.3.2020
's-Hertogenbosch,796,14,14:00 15.3,15.3.2020
Simpelveld,965,3,14:00 15.3,15.3.2020
Sint Anthonis,1702,2,14:00 15.3,15.3.2020
Sint-Michielsgestel,845,6,14:00 15.3,15.3.2020
Sittard-Geleen,1883,37,14:00 15.3,15.3.2020
Sluis,1714,1,14:00 15.3,15.3.2020
Smallingerland,90,3,14:00 15.3,15.3.2020
Soest,342,8,14:00 15.3,15.3.2020
Someren,847,1,14:00 15.3,15.3.2020
Son en Breugel,848,2,14:00 15.3,15.3.2020
Staphorst,180,1,14:00 15.3,15.3.2020
Steenbergen,851,1,14:00 15.3,15.3.2020
Stein,971,3,14:00 15.3,15.3.2020
Stichtse Vecht,1904,7,14:00 15.3,15.3.2020
Súdwest-Fryslân,1900,1,14:00 15.3,15.3.2020
Terneuzen,715,1,14:00 15.3,15.3.2020
Tholen,716,1,14:00 15.3,15.3.2020
Tiel,281,3,14:00 15.3,15.3.2020
Tilburg,855,68,14:00 15.3,15.3.2020
Tubbergen,183,1,14:00 15.3,15.3.2020
Uden,856,33,14:00 15.3,15.3.2020
Utrecht,344,38,14:00 15.3,15.3.2020
Utrechtse Heuvelrug,1581,2,14:00 15.3,15.3.2020
Veenendaal,345,1,14:00 15.3,15.3.2020
Veere,717,1,14:00 15.3,15.3.2020
Veldhoven,861,1,14:00 15.3,15.3.2020
Velsen,453,1,14:00 15.3,15.3.2020
Venlo,983,4,14:00 15.3,15.3.2020
Vijfheerenlanden,1961,2,14:00 15.3,15.3.2020
Vlaardingen,622,1,14:00 15.3,15.3.2020
Vlissingen,718,2,14:00 15.3,15.3.2020
Voorst,285,1,14:00 15.3,15.3.2020
Vught,865,2,14:00 15.3,15.3.2020
Waalre,866,1,14:00 15.3,15.3.2020
Waalwijk,867,8,14:00 15.3,15.3.2020
Waddinxveen,627,1,14:00 15.3,15.3.2020
Wassenaar,629,2,14:00 15.3,15.3.2020
Waterland,852,2,14:00 15.3,15.3.2020
West Betuwe,1960,3,14:00 15.3,15.3.2020
West Maas en Waal,668,3,14:00 15.3,15.3.2020
Westerkwartier,1969,1,14:00 15.3,15.3.2020
Westland,1783,1,14:00 15.3,15.3.2020
Westvoorne,614,3,14:00 15.3,15.3.2020
Wijchen,296,4,14:00 15.3,15.3.2020
Wijk bij Duurstede,352,3,14:00 15.3,15.3.2020
Woerden,632,2,14:00 15.3,15.3.2020
Woudenberg,351,1,14:00 15.3,15.3.2020
Zaanstad,479,2,14:00 15.3,15.3.2020
Zaltbommel,297,1,14:00 15.3,15.3.2020
Zandvoort,473,1,14:00 15.3,15.3.2020
Zeewolde,50,2,14:00 15.3,15.3.2020
Zeist,355,6,14:00 15.3,15.3.2020
Zundert,879,3,14:00 15.3,15.3.2020
Zwartewaterland,1896,2,14:00 15.3,15.3.2020
Zwijndrecht,642,3,14:00 15.3,15.3.2020
Zwolle,193,4,14:00 15.3,15.3.2020
